,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X
A,,ABBA,Air-Con,Adele,Aerosol,Afro,Silber (Ag),Apache Helicopter,AI (Jarvis),AJ (Cosmo&Wanda),Ak-47,Aluminium (Rolle),American (Dad),Anna (Neighbor),Aorta (Heart),App (Safari),Al-Qaida (Flagge),Alfa Romeo,Ass,Atom/AT&t,Gold (Au),AV-Platz,Award (Oscar),Axt
B,BA (A-Team),,Bycicle,Bed,Bee,BF/BFF (Nikolai),Bag (Sack),Bh/Buddha,Bi (orientirieg),Blowjob,Book/Burger King,Ball,Ball,Banner (Minecraft),Barack Obama,British Petrol (Green Sun),BenQ (Monitor),Beer,Bass,Bat,Buumerang,Beaver,Bow,Box
C,Camera,Cab,,CD,Cecile,Coffe,Chris Griffin (FG),Schweiz,Cigar,CJ,Cock,Clown,Cookie Monster,Can,Coke,Cop (vanessa),Criqet Schläger (CQ),Car/Ronaldo,Chess/Cheese,Cat,Kupfer (Cu),CV (lebenslauf),Cow,Dr. Cox (Scrubs)
D,Calcium,Dab,DC (White house),,Deutschland,Deaf (ear),Degen (Fechten),,Diamant,DJ (Mr Alive),Donkey Kong,Doll,Damn (Damm),Donut,DOOSEN-Bier,Dolphin,Drag Queen (Güney),Door,Nintendo DS,"Dot, Donald Trump",Duolingo (Vogel),DVD,Down (Behindert),Durex (Kondom)
E,Eagle,Eyeball,EC-Chärtli,Ed,,Elf (Legolas),Egg,Ehhhhh,Einstein,Edge,EKG,L (Buechstabe),Eminem,Ent (LOTR),EO-Zettel,Epipohone Guitar,Equation =,Ear,Essay,ET Movie,Europe,Eevee (Foxy with beard),Ewok,Ex (Sira)
F,FIFA Game,Facebook,Face,Food,Fe (Eisen),,Faggot,Full House,Fish,Fudje,Fuck/Fork,Flower,Foam,Fan,Fossil,Fap,Farquaad,Fire,Feast,Fat,Fuck You,Five,Flow,Fox
G,GA ,Gibby,Grand Cafe,God,Genf (Vogel/Schlüssel),Giraffe,,guitar Hero Guitar,Gianna,Grape Juice,Goku,Gollum,Grandmaster,Gin,Gorilla,GoPro,Guqamole,Graubünden,Grass,Goat,Gun,Grave,Glow,Gex
H,Haha,Hauptbahnhof,Helicopter,High Definition,Helium,Half,Hagrid,,Hitler,hedge,Hook (Captain),Hell,Ham,Honey,Hobbit,Internet Protocol,Hockey,Hair,Hurensohn,Hat,Human,Heaven,Homework,Hacks/Hexagon
I,Ian (Smosh),Young Boys,Ice,ID (Chärtli),Internet Explorer,Eiffel Tower,Igloo,Incredible Hulk,,Indina Jones,Ike (South Park),Intel,International Master (Levy),Inn (Lort),Agar.IO,,Intelligence Quotient (Normal Brain),Iris,ISIS,IT (Me),IU (Sängerin),Intravenös,iWatch,Ice Axe
J,Jaw,Justin Bieber,Jesus Christ,JD (Scrubs),Jet Engine,John F Kennedy,Jaguar,Jabba the Hut,Mt. Fuji,,Joker,Jelly,Jimmy Neutron,Jeans,,Jeep,jQuery,Junior (Walter JR),JavaScript,Jet,Jungle,Ja,Jew (family guy Goldberg),Jinx (fetti boobs und lippe)
K,Kangaroo,Kebab,Casy (KC),Billy the Kid,Key,KFC (Chggen),Kong (King Kong),DJ Khaled,Kite (Drachen),Kilojoules (Energy),,Kill,Kim (Possible),Ken (Barbie),Knock Out,Koopa,King Queen (Chess),Krypto,Kiss/Kill yourself,Katana,Kush,Kevlar Vest,Kiwi,Kicks Shoes
L,Lama,Lara Blattmann,Luca,Load (Cum),Lee,Leaf,Log,Lighthouse,Lion,Lebron James,Lock,,Lemon,Luna (Dog vode Sophie),Loo (klo),Laptop,Liquor,Lemur (Avatar),Lasso,Latte,Luma,Levi,Law §,Lacrosse
